ESG_Rating_Score,P/E Ratio,Revenue,EBITDA,Net Income,EPS,Market Cap,Debt to Equity,Current Ratio,Quick Ratio,1Y Return,Avg Volatility (30D),EBITDA Margin
10.0,90.44,8814000128,3664999936.0,927000000,9.59,84932329472,141.24,1.44,1.25,14.0680641026319,1.49115534755441,0.41581573437435737
5.714,27.07,3010099968,1840765952.0,995214016,2.62,27770882048,70.33,0.2,0.07,10.3262224231061,1.36441077349498,0.6115298400614447
8.571,90.11,6155850752,2947750912.0,369228000,0.61,32906471424,34.39,0.57,0.52,40.2776025531397,2.31308361304814,0.47885353800078617
2.857,29.93,3903813120,778619776.0,614179008,11.76,18401861632,0.62,1.38,1.25,-11.5053622998001,1.97227478776024,0.1994510884783337
8.571,27.28,12686588928,4379497984.0,840593024,2.28,22850426880,189.94,0.75,0.33,6.38524335265835,1.48410840522591,0.3452068959477521
4.286,27.33,1861154048,1182027008.0,671900992,10.46,19741280256,118.42,0.38,0.12,13.5663087998766,1.44577781830292,0.6351043371558677
7.143,32.45,25312000000,5792000000.0,3936999936,9.91,125826424832,58.0,1.31,0.78,-0.804895175533687,2.32898485981738,0.22882427307206069
5.714,26.79,11931898880,5390584832.0,1341069056,3.09,35655163904,199.49,0.82,0.46,52.8551887363013,1.61022089539365,0.45177929231663083
7.143,17.48,5890800128,2667300096.0,875800000,3.8,15241558016,144.48,0.55,0.07,24.1322979520906,0.961334320587539,0.45279079888008045
10.0,30.74,5522299904,1686000000.0,1440300032,2.42,43643039744,6.86,4.45,3.33,-12.1605617396389,2.2610898551894,0.3053075764282142
8.571,16.33,23698999296,7647000064.0,2710000128,2.69,44354138112,174.86,1.09,0.65,18.6714151868498,1.19385304026536,0.3226718549795766
4.286,24.65,6568000000,1226000000.0,-989000000,-5.81,26397822976,30.91,0.59,0.48,29.0226802820949,1.66883401522471,0.1866626065773447
10.0,19.19,11060255744,1152937984.0,844716032,6.02,15796079616,25.72,1.83,1.62,-0.57944846292057,1.43835433740883,0.10424153027613753
4.286,18.68,13690999808,1831000064.0,1234000000,8.94,21302079488,235.58,0.72,0.57,48.5226559384426,2.52380607836632,0.13373749833303628
4.286,34.38,3363286016,2265201920.0,910886976,4.3,32751738880,89.65,4.02,0.58,4.13452749846526,1.55552228264756,0.67350855955273
4.286,8.43,182873997312,10131000320.0,5017999872,1.25,41892954112,353.3,1.13,0.92,-9.17389275664387,2.32987956982994,0.055398801737327225
8.571,8.94,12375000064,9212999680.0,3948000000,16.08,42295021568,33.32,0.86,0.72,-25.9011833703157,2.24036538848423,0.7444848187759977
5.714,39.66,7610299904,1690899968.0,1151600000,2.0,45493878784,13.44,4.28,1.92,20.3545527874796,1.55588183191569,0.22218572057998098
5.714,32.34,24861999104,9075999744.0,1762000000,1.22,55237001216,32.19,2.32,0.96,-23.0941874421601,2.60135260251324,0.36505510703440497
8.571,32.39,2254222080,852484992.0,542513024,14.09,17320574976,80.86,1.47,1.17,4.71645404991228,1.34322863798394,0.3781725853736647
7.143,14.71,87814995968,10992000000.0,3912999936,15.88,56000278528,74.58,1.24,1.11,-10.5929173611191,2.1859783153571,0.1251722428365824
7.143,22.27,13763999744,4570999808.0,1084999936,1.88,24162635776,178.8,0.42,0.28,9.94059116717359,1.17058530758033,0.33209821948686025
8.571,26.46,2939781120,824787008.0,621350016,10.54,16015949824,7.14,1.53,1.08,62.7012864922321,1.86769327091495,0.28056068609624923
7.143,33.03,20703000576,9162000384.0,3247000064,5.65,103479558144,107.14,1.1,0.24,21.8117725510301,1.54004847129579,0.44254456499513745
8.571,91.37,1840360960,827203968.0,577089984,23.25,51712724992,74.58,2.11,1.86,59.4297992888659,2.00811865911416,0.4494791978199755
8.571,49.92,10190999552,2700999936.0,865000000,1.57,41175207936,80.22,0.63,0.45,5.4720087793054,1.51976446380216,0.26503778380305437
7.143,12.44,7906999808,2949985920.0,2152999936,3.15,26155673600,74.58,1.24,0.79,6.41768669017596,1.69551027433536,0.0
5.714,10.54,15180999680,3380999936.0,2184999936,4.66,23052204032,68.77,2.5,2.07,61.6987116572702,1.4786137232284,0.22271260175667168
5.714,11.35,15180999680,3380999936.0,2184999936,4.66,23130314752,68.77,2.5,2.07,61.2639915582874,1.50288161488284,0.22271260175667168
8.571,28.48,1223587968,761038016.0,292936992,3.48,8415525888,133.51,0.37,0.36,-0.880544029180994,1.35351358817292,0.6219724579704269
8.571,12.67,4256749056,1831742976.0,1264962944,11.77,15998659584,7.7,1.93,1.19,-21.2936594069745,3.46891178180391,0.4303150014018585
